,index,name,latitude,longitude,address,category,rating,category_count
306,383,Marsell,45.458394,9.211685,Via Paullo 12,Shoe Store,,1
307,384,Church'S Milano Showroom,45.459094,9.208735,Via Spartaco 10,Shoe Store,,1
308,385,Garden Gate Milano - Spazio Eventi,45.460819,9.218024,Via Giovanni Cena 1,Bridal Store,,1
309,386,Pacchioli Giulia Minima Colorata,45.459797,9.207498,Viale Monte Nero 66,Jewelry Store,,1
310,387,Prada SPA,45.45881,9.208629,Via Andrea Maffei 2,"Clothing Store, Shoe Store",,2
311,388,L Angolo D Oro di Luca Tagliapietra SAS,45.466387,9.214932,Via Bronzetti Fratelli 9,Jewelry Store,,1
312,389,Gloribù SAS di Gloria Isabella Buzi e c.,45.465242,9.207659,Via Pasquale Sottocorno 2,Clothing Store,,1
313,390,Vivaldi di Mautone Francesco,45.457053,9.208044,Via Bergamo 11,Shoe Store,,1
314,391,Concordia 10 di Pistarino Manuela,45.46787,9.208745,Corso Concordia 10,Clothing Store,,1
315,392,F.G. SRL,45.465861,9.204996,Via Gaetano Donizetti 36,Shoe Store,,1
316,393,Emanuele Fabrizio - Laboratorio e Vendita Orologi e Gioielli,45.45634,9.204656,Viale Monte Nero 27,Jewelry Store,,1
317,396,Fiordiponti Bakery & Cafè,45.453206,9.202887,Viale Monte Nero 5,"Cocktail Bar, Café, Restaurant",7.3,3
318,397,Refeel,45.450773,9.200992,Viale Sabotino 20,"Cocktail Bar, Café, Italian Restaurant",6.6,3
319,398,Swami Cafè,45.45352059977582,9.203662276268005,Viale Monte Nero 12,"Café, Cocktail Bar",6.2,2
320,400,055Milano,45.452797,9.204323,Via Carlo Botta 8,Fashion Accessories Store,,1
321,402,Disigual Caffe,45.452573,9.203145,Viale Monte Nero 4,"Café, Restaurant",,2
322,404,Suite 123,45.453177,9.200901,Corso di Porta Romana 123,"Clothing Store, Women's Store",,2
323,406,Dea caffetteria tavola fredda,45.454907,9.198389,Via Orti 1,"Café, Restaurant",,2
324,410,Andrea Selli,45.455823,9.196525,Corso di Porta Romana 79,Shoe Store,,1
325,421,Mag Moda New SRL,45.451415,9.200826,Via dei Tigli 21,Clothing Store,,1
326,422,Seven Days SNC di Pastore Andrea e c.,45.45112,9.204562,Corso Lodi 7,Fashion Retail,,1
327,424,Anna Fabiano,45.452453,9.201355,Corso di Porta Romana 132,Fashion Retail,,1
328,426,Genesi SRL,45.452542,9.199447,Via Madre Cabrini 9,Jewelry Store,,1
329,427,La bottega del Bagatt,45.454708,9.198597,Via Orti 2,Shoe Store,,1
330,429,Bar di Lin Haisuo,45.450785,9.198863,Viale Sabotino 10,Café,,1
331,582,Deus Cafe Milano,45.491041,9.188769,Via Thaon di Revel 3,"Bar, Café, Restaurant",8.5,3
332,583,Pasticceria Tre Chicchere,45.49168,9.18689,Via Boltraffio Gian Antonio 12,"Café, Coffee Shop, Restaurant",8.3,3
333,587,Liberty38,45.490157,9.18364,Via Carlo Farini 38,Café,7.7,1
334,588,Anche Ristorante,45.486729,9.18672,Via Carmagnola 5,"Café, Italian Restaurant",7.3,2
335,590,Bar Rainbow,45.491895,9.191911,Viale Zara 19,Café,,1
336,593,Dany Bar,45.484043,9.201934,Via Vittor Pisani 31,"Bar, Café, Restaurant",6.2,3
337,594,Twenty Minutes,45.491465,9.188627,Via Francesco Arese 20,"Night Club, Bar, Café",,3
338,595,20 Minutes,45.490991,9.188821,Via Genova Giovanni Thaon di Revel 4,Café,,1
339,596,Malia,45.493047,9.187982,Via Thaon de Revel 28,Women's Store,,1
340,597,Sole Luna di Morello Alessandro,45.49131,9.18647,Via Cola Montano 40,"Bar, Café, Restaurant",,3
341,598,RAPA Milano,45.486375,9.187594,Via Pastrengo 5A,Clothing Store,,1
